Commodity,Date,Unit,Minimum,Maximum,Average
Clive Green,1/8/2016,Kg,90,100,95
Fish Fresh,1/8/2016,Kg,250,260,255
Tomato Big(Nepali),1/9/2016,Kg,38,45,41.5
Tomato Small(Local),1/9/2016,Kg,15,20,17.5
Potato Red,1/9/2016,Kg,25,32,28.5
Potato White,1/9/2016,Kg,20,25,22.5
Onion Dry (Indian),1/9/2016,Kg,35,38,36.5
Carrot(Local),1/9/2016,Kg,35,45,40
Cabbage(Local),1/9/2016,Kg,20,25,22.5
Cauli Local,1/9/2016,Kg,20,30,25
Cauli Terai,1/9/2016,Kg,18,25,21.5
Raddish Red,1/9/2016,Kg,30,36,33
Raddish White(Local),1/9/2016,Kg,18,25,21.5
Brinjal Long,1/9/2016,Kg,40,46,43
Brinjal Round,1/9/2016,Kg,45,50,47.5
Cow pea(Long),1/9/2016,Kg,70,80,75
Green Peas,1/9/2016,Kg,70,85,77.5
French Bean(Local),1/9/2016,Kg,55,65,60
Sword Bean,1/9/2016,Kg,60,65,62.5
Bitter Gourd,1/9/2016,Kg,100,120,110
Bottle Gourd,1/9/2016,Kg,40,50,45
Pointed Gourd(Local),1/9/2016,Kg,44,50,47
Pumpkin,1/9/2016,Kg,18,22,20
Squash(Long),1/9/2016,Kg,40,50,45
Okara,1/9/2016,Kg,120,130,125
Sweet Potato,1/9/2016,Kg,44,50,47
Barela,1/9/2016,Kg,35,45,40
Arum,1/9/2016,Kg,40,50,45
Brd Leaf Mustard,1/9/2016,Kg,45,55,50
Spinach Leaf,1/9/2016,Kg,50,60,55
Cress Leaf,1/9/2016,Kg,50,60,55
Mustard Leaf,1/9/2016,Kg,40,50,45
Fenugreek Leaf,1/9/2016,Kg,50,60,55
Onion Green,1/9/2016,Kg,60,70,65
Bakula,1/9/2016,Kg,55,65,60
Yam,1/9/2016,Kg,30,35,32.5
Mushroom(Kanya),1/9/2016,Kg,150,160,155
Brocauli,1/9/2016,Kg,40,50,45
Sugarbeet,1/9/2016,Kg,60,70,65
Red Cabbbage,1/9/2016,Kg,85,95,90
Lettuce,1/9/2016,Kg,50,60,55
Knolkhol,1/9/2016,Kg,40,50,45
Celery,1/9/2016,Kg,90,100,95
Parseley,1/9/2016,Kg,90,100,95
Fennel Leaf,1/9/2016,Kg,50,60,55
Mint,1/9/2016,Kg,80,90,85
Turnip A,1/9/2016,Kg,40,50,45
Tamarind,1/9/2016,Kg,90,100,95
Bamboo Shoot,1/9/2016,Kg,70,80,75
Tofu,1/9/2016,Kg,70,80,75
Gundruk,1/9/2016,Kg,200,210,205
Apple(Jholey),1/9/2016,Kg,80,100,90
Banana,1/9/2016,Doz,60,70,65
Lime,1/9/2016,Kg,400,450,425
Pomegranate,1/9/2016,Kg,150,160,155
Grapes(Green),1/9/2016,Kg,140,150,145
Orange(Nepali),1/9/2016,Kg,65,75,70
Water Melon(Green),1/9/2016,Kg,50,60,55
Pineapple,1/9/2016,1 Pc,80,90,85
Cucumber(Local),1/9/2016,Kg,70,90,80
Lemon,1/9/2016,Kg,30,35,32.5
Pear(Local),1/9/2016,Kg,180,190,185
Papaya(Nepali),1/9/2016,Kg,50,60,55
Mombin,1/9/2016,Kg,25,30,27.5
Strawberry,1/9/2016,Kg,250,260,255
Ginger,1/9/2016,Kg,50,60,55
Chilli Dry,1/9/2016,Kg,270,280,275
Chilli Green,1/9/2016,Kg,40,50,45
Capsicum,1/9/2016,Kg,50,60,55
Garlic Green,1/9/2016,Kg,80,100,90
Coriander Green,1/9/2016,Kg,60,70,65
Garlic Dry Chinese,1/9/2016,Kg,250,260,255
Garlic Dry Nepali,1/9/2016,Kg,240,250,245
Clive Dry,1/9/2016,Kg,90,100,95
Clive Green,1/9/2016,Kg,90,100,95
Fish Fresh,1/9/2016,Kg,250,260,255
Tomato Big(Nepali),1/10/2016,Kg,40,45,42.5
Tomato Small(Local),1/10/2016,Kg,15,20,17.5
Potato Red,1/10/2016,Kg,25,33,29
Potato White,1/10/2016,Kg,20,25,22.5
Onion Dry (Indian),1/10/2016,Kg,35,38,36.5
Carrot(Local),1/10/2016,Kg,35,40,37.5
Cabbage(Local),1/10/2016,Kg,20,25,22.5
Cauli Local,1/10/2016,Kg,20,30,25
Cauli Terai,1/10/2016,Kg,20,25,22.5
Raddish Red,1/10/2016,Kg,25,30,27.5
Raddish White(Local),1/10/2016,Kg,18,22,20
Brinjal Long,1/10/2016,Kg,40,50,45
Brinjal Round,1/10/2016,Kg,40,50,45
Cow pea(Long),1/10/2016,Kg,60,70,65
Green Peas,1/10/2016,Kg,70,80,75
French Bean(Local),1/10/2016,Kg,50,60,55
Sword Bean,1/10/2016,Kg,50,60,55
Bitter Gourd,1/10/2016,Kg,100,110,105
Bottle Gourd,1/10/2016,Kg,40,50,45
Pointed Gourd(Local),1/10/2016,Kg,40,50,45
Pumpkin,1/10/2016,Kg,20,22,21
Squash(Long),1/10/2016,Kg,40,50,45
Okara,1/10/2016,Kg,120,130,125
Sweet Potato,1/10/2016,Kg,40,50,45
Barela,1/10/2016,Kg,40,50,45
Arum,1/10/2016,Kg,30,40,35
Christophine,1/10/2016,Kg,30,40,35
Brd Leaf Mustard,1/10/2016,Kg,40,50,45
Spinach Leaf,1/10/2016,Kg,50,60,55
Cress Leaf,1/10/2016,Kg,50,60,55
Mustard Leaf,1/10/2016,Kg,40,50,45
Fenugreek Leaf,1/10/2016,Kg,50,60,55
Onion Green,1/10/2016,Kg,70,80,75
Bakula,1/10/2016,Kg,50,60,55
Yam,1/10/2016,Kg,30,35,32.5
Mushroom(Kanya),1/10/2016,Kg,140,150,145
Brocauli,1/10/2016,Kg,40,45,42.5
Sugarbeet,1/10/2016,Kg,60,70,65
Red Cabbbage,1/10/2016,Kg,80,90,85
Lettuce,1/10/2016,Kg,50,60,55
Knolkhol,1/10/2016,Kg,40,50,45
Celery,1/10/2016,Kg,90,100,95
Parseley,1/10/2016,Kg,90,100,95
Fennel Leaf,1/10/2016,Kg,50,60,55
Mint,1/10/2016,Kg,80,90,85
Turnip A,1/10/2016,Kg,40,50,45
Tamarind,1/10/2016,Kg,90,100,95
Bamboo Shoot,1/10/2016,Kg,70,80,75
Tofu,1/10/2016,Kg,70,80,75
Gundruk,1/10/2016,Kg,200,210,205
Apple(Jholey),1/10/2016,Kg,90,100,95
Banana,1/10/2016,Doz,60,70,65
Lime,1/10/2016,Kg,400,450,425
Pomegranate,1/10/2016,Kg,150,160,155
Grapes(Green),1/10/2016,Kg,140,150,145
Orange(Nepali),1/10/2016,Kg,80,90,85
Water Melon(Green),1/10/2016,Kg,50,60,55
Sweet Orange,1/10/2016,Kg,90,100,95
Pineapple,1/10/2016,1 Pc,80,90,85
Cucumber(Local),1/10/2016,Kg,80,90,85
Lemon,1/10/2016,Kg,30,35,32.5
Pear(Local),1/10/2016,Kg,180,190,185
Papaya(Nepali),1/10/2016,Kg,50,60,55
Mombin,1/10/2016,Kg,25,30,27.5
Ginger,1/10/2016,Kg,50,60,55
Chilli Dry,1/10/2016,Kg,270,280,275
Chilli Green,1/10/2016,Kg,40,50,45
Capsicum,1/10/2016,Kg,50,60,55
Garlic Green,1/10/2016,Kg,70,80,75
Coriander Green,1/10/2016,Kg,60,70,65
Garlic Dry Chinese,1/10/2016,Kg,250,260,255
Garlic Dry Nepali,1/10/2016,Kg,240,250,245
Clive Dry,1/10/2016,Kg,90,100,95
Clive Green,1/10/2016,Kg,90,100,95
Fish Fresh,1/10/2016,Kg,250,260,255
Tomato Big(Nepali),1/11/2016,Kg,40,45,42.5
Tomato Small(Local),1/11/2016,Kg,15,20,17.5
Potato Red,1/11/2016,Kg,25,30,27.5
Potato White,1/11/2016,Kg,20,25,22.5
Onion Dry (Indian),1/11/2016,Kg,36,38,37
Carrot(Local),1/11/2016,Kg,30,40,35
Cabbage(Local),1/11/2016,Kg,20,25,22.5
Cauli Local,1/11/2016,Kg,20,30,25
Cauli Terai,1/11/2016,Kg,15,20,17.5
Raddish Red,1/11/2016,Kg,25,30,27.5
Raddish White(Local),1/11/2016,Kg,18,20,19
Brinjal Long,1/11/2016,Kg,40,50,45
Brinjal Round,1/11/2016,Kg,40,50,45
Cow pea(Long),1/11/2016,Kg,60,70,65
Green Peas,1/11/2016,Kg,70,80,75
French Bean(Local),1/11/2016,Kg,50,60,55
Sword Bean,1/11/2016,Kg,50,60,55
Bitter Gourd,1/11/2016,Kg,110,120,115
Bottle Gourd,1/11/2016,Kg,40,50,45
Pointed Gourd(Local),1/11/2016,Kg,40,50,45
Pumpkin,1/11/2016,Kg,20,22,21
Squash(Long),1/11/2016,Kg,40,50,45
Okara,1/11/2016,Kg,120,130,125
Sweet Potato,1/11/2016,Kg,40,50,45
Barela,1/11/2016,Kg,30,40,35
Arum,1/11/2016,Kg,30,40,35
Christophine,1/11/2016,Kg,30,40,35
Brd Leaf Mustard,1/11/2016,Kg,40,50,45
Spinach Leaf,1/11/2016,Kg,50,60,55
Cress Leaf,1/11/2016,Kg,50,60,55
Mustard Leaf,1/11/2016,Kg,40,50,45
Fenugreek Leaf,1/11/2016,Kg,50,60,55
Onion Green,1/11/2016,Kg,70,80,75
Bakula,1/11/2016,Kg,50,60,55
Yam,1/11/2016,Kg,30,35,32.5
Mushroom(Kanya),1/11/2016,Kg,140,150,145
Brocauli,1/11/2016,Kg,30,40,35
Sugarbeet,1/11/2016,Kg,50,60,55
Red Cabbbage,1/11/2016,Kg,80,90,85
Lettuce,1/11/2016,Kg,50,60,55
Knolkhol,1/11/2016,Kg,40,50,45
Celery,1/11/2016,Kg,90,100,95
Parseley,1/11/2016,Kg,90,100,95
Fennel Leaf,1/11/2016,Kg,50,60,55
Mint,1/11/2016,Kg,80,90,85
Turnip A,1/11/2016,Kg,40,50,45
Tamarind,1/11/2016,Kg,90,100,95
Bamboo Shoot,1/11/2016,Kg,70,80,75
Tofu,1/11/2016,Kg,70,80,75
Gundruk,1/11/2016,Kg,200,210,205
Apple(Jholey),1/11/2016,Kg,80,90,85
Banana,1/11/2016,Doz,70,80,75
Lime,1/11/2016,Kg,400,450,425
Pomegranate,1/11/2016,Kg,150,160,155
Grapes(Green),1/11/2016,Kg,140,150,145
Orange(Nepali),1/11/2016,Kg,70,80,75
Water Melon(Green),1/11/2016,Kg,50,60,55
Sweet Orange,1/11/2016,Kg,90,100,95
Pineapple,1/11/2016,1 Pc,80,90,85
Cucumber(Local),1/11/2016,Kg,80,90,85
Lemon,1/11/2016,Kg,30,35,32.5
Pear(Local),1/11/2016,Kg,180,190,185
Papaya(Nepali),1/11/2016,Kg,60,70,65
Mombin,1/11/2016,Kg,25,30,27.5
Ginger,1/11/2016,Kg,50,60,55
Chilli Dry,1/11/2016,Kg,270,280,275
Chilli Green,1/11/2016,Kg,40,50,45
Capsicum,1/11/2016,Kg,50,60,55
Garlic Green,1/11/2016,Kg,80,90,85
Coriander Green,1/11/2016,Kg,60,70,65
Garlic Dry Chinese,1/11/2016,Kg,250,260,255
Garlic Dry Nepali,1/11/2016,Kg,240,250,245
Clive Dry,1/11/2016,Kg,90,100,95
Clive Green,1/11/2016,Kg,90,100,95
Fish Fresh,1/11/2016,Kg,250,260,255
Tomato Big(Nepali),1/12/2016,Kg,40,45,42.5
Tomato Small(Local),1/12/2016,Kg,15,20,17.5
Potato Red,1/12/2016,Kg,25,30,27.5
Potato White,1/12/2016,Kg,20,25,22.5
Onion Dry (Indian),1/12/2016,Kg,35,37,36
Carrot(Local),1/12/2016,Kg,30,40,35
Cabbage(Local),1/12/2016,Kg,18,20,19
Cauli Local,1/12/2016,Kg,20,25,22.5
Cauli Terai,1/12/2016,Kg,15,20,17.5
Raddish Red,1/12/2016,Kg,25,30,27.5
Raddish White(Local),1/12/2016,Kg,15,20,17.5
Brinjal Long,1/12/2016,Kg,30,40,35
Brinjal Round,1/12/2016,Kg,30,40,35
Cow pea(Long),1/12/2016,Kg,60,70,65
Green Peas,1/12/2016,Kg,70,80,75
French Bean(Local),1/12/2016,Kg,50,60,55
Sword Bean,1/12/2016,Kg,40,50,45
Bitter Gourd,1/12/2016,Kg,90,100,95
Bottle Gourd,1/12/2016,Kg,30,40,35
Pointed Gourd(Local),1/12/2016,Kg,40,50,45
Pumpkin,1/12/2016,Kg,18,20,19
Squash(Long),1/12/2016,Kg,30,40,35
Okara,1/12/2016,Kg,100,115,107.5
Sweet Potato,1/12/2016,Kg,40,50,45
Barela,1/12/2016,Kg,30,40,35
Arum,1/12/2016,Kg,30,40,35
Christophine,1/12/2016,Kg,30,40,35
Brd Leaf Mustard,1/12/2016,Kg,40,50,45
Spinach Leaf,1/12/2016,Kg,50,60,55
Cress Leaf,1/12/2016,Kg,50,60,55
Mustard Leaf,1/12/2016,Kg,40,50,45
Fenugreek Leaf,1/12/2016,Kg,50,60,55
Onion Green,1/12/2016,Kg,60,70,65
Bakula,1/12/2016,Kg,50,60,55
Yam,1/12/2016,Kg,35,40,37.5
Mushroom(Kanya),1/12/2016,Kg,140,150,145
Brocauli,1/12/2016,Kg,30,40,35
Sugarbeet,1/12/2016,Kg,50,60,55
Red Cabbbage,1/12/2016,Kg,80,90,85
Lettuce,1/12/2016,Kg,50,60,55
Knolkhol,1/12/2016,Kg,40,50,45
Celery,1/12/2016,Kg,90,100,95
Parseley,1/12/2016,Kg,90,100,95
Fennel Leaf,1/12/2016,Kg,50,60,55
Mint,1/12/2016,Kg,80,90,85
Turnip A,1/12/2016,Kg,40,50,45
Tamarind,1/12/2016,Kg,90,100,95
Bamboo Shoot,1/12/2016,Kg,70,80,75
Tofu,1/12/2016,Kg,70,80,75
Gundruk,1/12/2016,Kg,200,210,205
Apple(Jholey),1/12/2016,Kg,80,90,85
Banana,1/12/2016,Doz,70,80,75
Lime,1/12/2016,Kg,400,450,425
Pomegranate,1/12/2016,Kg,150,160,155
Grapes(Green),1/12/2016,Kg,140,150,145
Orange(Nepali),1/12/2016,Kg,70,80,75
Water Melon(Green),1/12/2016,Kg,50,60,55
Sweet Orange,1/12/2016,Kg,90,100,95
Pineapple,1/12/2016,1 Pc,80,90,85
Cucumber(Local),1/12/2016,Kg,80,90,85
Lemon,1/12/2016,Kg,30,40,35
Pear(Local),1/12/2016,Kg,180,190,185
Papaya(Nepali),1/12/2016,Kg,60,70,65
Mombin,1/12/2016,Kg,30,35,32.5
Ginger,1/12/2016,Kg,50,60,55
Chilli Dry,1/12/2016,Kg,270,280,275
Chilli Green,1/12/2016,Kg,40,50,45
Capsicum,1/12/2016,Kg,50,60,55
Garlic Green,1/12/2016,Kg,80,90,85
Coriander Green,1/12/2016,Kg,60,70,65
Garlic Dry Chinese,1/12/2016,Kg,250,260,255
Garlic Dry Nepali,1/12/2016,Kg,240,250,245
Clive Dry,1/12/2016,Kg,90,100,95
Clive Green,1/12/2016,Kg,90,100,95
Fish Fresh,1/12/2016,Kg,250,260,255
Tomato Big(Nepali),1/13/2016,Kg,40,50,45
Tomato Small(Local),1/13/2016,Kg,15,20,17.5
Potato Red,1/13/2016,Kg,25,30,27.5
Potato White,1/13/2016,Kg,20,25,22.5
Onion Dry (Indian),1/13/2016,Kg,33,35,34
Carrot(Local),1/13/2016,Kg,30,40,35
Cabbage(Local),1/13/2016,Kg,20,25,22.5
Cauli Local,1/13/2016,Kg,25,35,30
Cauli Terai,1/13/2016,Kg,20,25,22.5
Raddish Red,1/13/2016,Kg,25,30,27.5
Raddish White(Local),1/13/2016,Kg,15,20,17.5
Brinjal Long,1/13/2016,Kg,30,40,35
Brinjal Round,1/13/2016,Kg,30,40,35
Cow pea(Long),1/13/2016,Kg,70,80,75
Green Peas,1/13/2016,Kg,60,70,65
French Bean(Local),1/13/2016,Kg,50,60,55
Sword Bean,1/13/2016,Kg,40,50,45
Bitter Gourd,1/13/2016,Kg,90,100,95
Bottle Gourd,1/13/2016,Kg,30,40,35
Pointed Gourd(Local),1/13/2016,Kg,100,120,110
Pumpkin,1/13/2016,Kg,18,20,19
Squash(Long),1/13/2016,Kg,40,50,45
Okara,1/13/2016,Kg,110,120,115
Sweet Potato,1/13/2016,Kg,40,50,45
Barela,1/13/2016,Kg,30,40,35
Arum,1/13/2016,Kg,30,40,35
Christophine,1/13/2016,Kg,30,40,35
Brd Leaf Mustard,1/13/2016,Kg,40,50,45
Spinach Leaf,1/13/2016,Kg,50,60,55
Cress Leaf,1/13/2016,Kg,50,60,55
Mustard Leaf,1/13/2016,Kg,40,50,45
Fenugreek Leaf,1/13/2016,Kg,50,60,55
Onion Green,1/13/2016,Kg,60,70,65
Bakula,1/13/2016,Kg,60,70,65
Yam,1/13/2016,Kg,30,35,32.5
Mushroom(Kanya),1/13/2016,Kg,140,150,145
Brocauli,1/13/2016,Kg,30,40,35
Sugarbeet,1/13/2016,Kg,60,70,65
Red Cabbbage,1/13/2016,Kg,80,90,85
Lettuce,1/13/2016,Kg,50,60,55
Knolkhol,1/13/2016,Kg,40,50,45
Celery,1/13/2016,Kg,90,100,95
Parseley,1/13/2016,Kg,90,100,95
Fennel Leaf,1/13/2016,Kg,50,60,55
Mint,1/13/2016,Kg,80,90,85
Turnip A,1/13/2016,Kg,40,50,45
Tamarind,1/13/2016,Kg,90,100,95
Bamboo Shoot,1/13/2016,Kg,70,80,75
Tofu,1/13/2016,Kg,70,80,75
Gundruk,1/13/2016,Kg,200,210,205
Apple(Jholey),1/13/2016,Kg,80,90,85
Banana,1/13/2016,Doz,70,80,75
Lime,1/13/2016,Kg,400,450,425
Pomegranate,1/13/2016,Kg,190,200,195
Grapes(Green),1/13/2016,Kg,140,150,145
Orange(Nepali),1/13/2016,Kg,70,80,75
Water Melon(Green),1/13/2016,Kg,50,60,55
Sweet Orange,1/13/2016,Kg,90,100,95
Pineapple,1/13/2016,1 Pc,80,90,85
Cucumber(Local),1/13/2016,Kg,80,90,85
Lemon,1/13/2016,Kg,30,35,32.5
Pear(Local),1/13/2016,Kg,180,190,185
Papaya(Nepali),1/13/2016,Kg,60,70,65
Mombin,1/13/2016,Kg,25,30,27.5
Ginger,1/13/2016,Kg,50,60,55
Chilli Dry,1/13/2016,Kg,270,280,275
Chilli Green,1/13/2016,Kg,40,50,45
Capsicum,1/13/2016,Kg,50,60,55
Garlic Green,1/13/2016,Kg,80,90,85
Coriander Green,1/13/2016,Kg,60,70,65
Garlic Dry Chinese,1/13/2016,Kg,250,260,255
Garlic Dry Nepali,1/13/2016,Kg,240,250,245
Clive Dry,1/13/2016,Kg,90,100,95
Clive Green,1/13/2016,Kg,90,100,95
Fish Fresh,1/13/2016,Kg,250,260,255
Tomato Big(Nepali),1/14/2016,Kg,40,45,42.5
Tomato Small(Local),1/14/2016,Kg,15,20,17.5
Potato Red,1/14/2016,Kg,25,30,27.5
Potato White,1/14/2016,Kg,20,25,22.5
Onion Dry (Indian),1/14/2016,Kg,33,35,34
Carrot(Local),1/14/2016,Kg,30,40,35
Cabbage(Local),1/14/2016,Kg,20,25,22.5
Cauli Local,1/14/2016,Kg,20,30,25
Cauli Terai,1/14/2016,Kg,15,20,17.5
Raddish Red,1/14/2016,Kg,25,30,27.5
Raddish White(Local),1/14/2016,Kg,18,20,19
Brinjal Long,1/14/2016,Kg,30,40,35
Brinjal Round,1/14/2016,Kg,30,40,35
Cow pea(Long),1/14/2016,Kg,70,80,75
Green Peas,1/14/2016,Kg,70,80,75
French Bean(Local),1/14/2016,Kg,50,60,55
Sword Bean,1/14/2016,Kg,30,40,35
Bitter Gourd,1/14/2016,Kg,90,100,95
Bottle Gourd,1/14/2016,Kg,40,50,45
Pointed Gourd(Local),1/14/2016,Kg,100,120,110
Pumpkin,1/14/2016,Kg,18,20,19
Squash(Long),1/14/2016,Kg,40,50,45
Okara,1/14/2016,Kg,110,120,115
Sweet Potato,1/14/2016,Kg,50,60,55
Barela,1/14/2016,Kg,30,40,35
Arum,1/14/2016,Kg,30,40,35
Christophine,1/14/2016,Kg,30,40,35
Brd Leaf Mustard,1/14/2016,Kg,40,50,45
Spinach Leaf,1/14/2016,Kg,50,60,55
Cress Leaf,1/14/2016,Kg,50,60,55
Mustard Leaf,1/14/2016,Kg,40,50,45
Fenugreek Leaf,1/14/2016,Kg,50,60,55
Onion Green,1/14/2016,Kg,60,70,65
Bakula,1/14/2016,Kg,70,80,75
Yam,1/14/2016,Kg,40,45,42.5
Mushroom(Kanya),1/14/2016,Kg,140,150,145
Brocauli,1/14/2016,Kg,30,40,35
Sugarbeet,1/14/2016,Kg,50,60,55
Red Cabbbage,1/14/2016,Kg,80,90,85
Lettuce,1/14/2016,Kg,50,60,55
Knolkhol,1/14/2016,Kg,40,50,45
Celery,1/14/2016,Kg,90,100,95
Parseley,1/14/2016,Kg,90,100,95
Fennel Leaf,1/14/2016,Kg,50,60,55
Mint,1/14/2016,Kg,80,90,85
Turnip A,1/14/2016,Kg,40,50,45
Tamarind,1/14/2016,Kg,90,100,95
Bamboo Shoot,1/14/2016,Kg,70,80,75
Tofu,1/14/2016,Kg,70,80,75
Gundruk,1/14/2016,Kg,200,210,205
Apple(Jholey),1/14/2016,Kg,80,90,85
Banana,1/14/2016,Doz,60,70,65
Lime,1/14/2016,Kg,400,450,425
Pomegranate,1/14/2016,Kg,190,200,195
Grapes(Green),1/14/2016,Kg,140,150,145
Orange(Nepali),1/14/2016,Kg,70,80,75
Water Melon(Green),1/14/2016,Kg,50,60,55
Sweet Orange,1/14/2016,Kg,90,100,95
Pineapple,1/14/2016,1 Pc,80,90,85
Cucumber(Local),1/14/2016,Kg,80,90,85
Lemon,1/14/2016,Kg,30,35,32.5
Pear(Local),1/14/2016,Kg,180,190,185
Papaya(Nepali),1/14/2016,Kg,60,70,65
Mombin,1/14/2016,Kg,25,30,27.5
Ginger,1/14/2016,Kg,50,60,55
Chilli Dry,1/14/2016,Kg,270,280,275
Chilli Green,1/14/2016,Kg,40,50,45
Capsicum,1/14/2016,Kg,50,60,55
Garlic Green,1/14/2016,Kg,90,100,95
Coriander Green,1/14/2016,Kg,80,90,85
Garlic Dry Chinese,1/14/2016,Kg,250,260,255
Garlic Dry Nepali,1/14/2016,Kg,240,250,245
Clive Dry,1/14/2016,Kg,90,100,95
Clive Green,1/14/2016,Kg,90,100,95
Fish Fresh,1/14/2016,Kg,250,260,255
Tomato Big(Nepali),1/15/2016,Kg,40,45,42.5
Tomato Small(Local),1/15/2016,Kg,15,20,17.5
Potato Red,1/15/2016,Kg,25,30,27.5
Potato White,1/15/2016,Kg,20,25,22.5
Onion Dry (Indian),1/15/2016,Kg,33,35,34
Carrot(Local),1/15/2016,Kg,30,40,35
Cabbage(Local),1/15/2016,Kg,20,25,22.5
Cauli Local,1/15/2016,Kg,20,30,25
Cauli Terai,1/15/2016,Kg,15,20,17.5
Raddish Red,1/15/2016,Kg,25,30,27.5
Raddish White(Local),1/15/2016,Kg,15,20,17.5
Brinjal Long,1/15/2016,Kg,30,40,35
Brinjal Round,1/15/2016,Kg,30,40,35
Cow pea(Long),1/15/2016,Kg,70,80,75
Green Peas,1/15/2016,Kg,70,80,75
French Bean(Local),1/15/2016,Kg,50,60,55
Sword Bean,1/15/2016,Kg,30,40,35
Bitter Gourd,1/15/2016,Kg,70,80,75
Bottle Gourd,1/15/2016,Kg,40,50,45
Pointed Gourd(Local),1/15/2016,Kg,100,110,105
Pumpkin,1/15/2016,Kg,18,20,19
Squash(Long),1/15/2016,Kg,40,50,45
Okara,1/15/2016,Kg,110,120,115
Sweet Potato,1/15/2016,Kg,40,50,45
Barela,1/15/2016,Kg,30,40,35
Arum,1/15/2016,Kg,30,40,35
Christophine,1/15/2016,Kg,30,40,35
Brd Leaf Mustard,1/15/2016,Kg,40,50,45
Spinach Leaf,1/15/2016,Kg,50,60,55
Cress Leaf,1/15/2016,Kg,50,60,55
Mustard Leaf,1/15/2016,Kg,40,50,45
Fenugreek Leaf,1/15/2016,Kg,50,60,55
Onion Green,1/15/2016,Kg,60,70,65
Bakula,1/15/2016,Kg,60,70,65
Yam,1/15/2016,Kg,25,30,27.5
Mushroom(Kanya),1/15/2016,Kg,140,150,145
Brocauli,1/15/2016,Kg,30,40,35
Sugarbeet,1/15/2016,Kg,50,60,55
Red Cabbbage,1/15/2016,Kg,80,90,85
Lettuce,1/15/2016,Kg,50,60,55
Knolkhol,1/15/2016,Kg,40,50,45
Celery,1/15/2016,Kg,90,100,95
Parseley,1/15/2016,Kg,90,100,95
Fennel Leaf,1/15/2016,Kg,50,60,55
Mint,1/15/2016,Kg,80,90,85
Turnip A,1/15/2016,Kg,40,50,45
Tamarind,1/15/2016,Kg,90,100,95
Bamboo Shoot,1/15/2016,Kg,70,80,75
Tofu,1/15/2016,Kg,70,80,75
Gundruk,1/15/2016,Kg,200,210,205
Apple(Jholey),1/15/2016,Kg,80,90,85
Banana,1/15/2016,Doz,60,70,65
Lime,1/15/2016,Kg,400,450,425
Pomegranate,1/15/2016,Kg,190,200,195
Grapes(Green),1/15/2016,Kg,140,150,145
Orange(Nepali),1/15/2016,Kg,80,90,85
Water Melon(Green),1/15/2016,Kg,50,60,55
Sweet Orange,1/15/2016,Kg,90,100,95
Pineapple,1/15/2016,1 Pc,80,90,85
Cucumber(Local),1/15/2016,Kg,80,90,85
Lemon,1/15/2016,Kg,30,35,32.5
Pear(Local),1/15/2016,Kg,180,190,185
Papaya(Nepali),1/15/2016,Kg,60,70,65
Mombin,1/15/2016,Kg,25,30,27.5
Ginger,1/15/2016,Kg,50,60,55
Chilli Dry,1/15/2016,Kg,270,280,275
Chilli Green,1/15/2016,Kg,40,50,45
Capsicum,1/15/2016,Kg,50,60,55
Garlic Green,1/15/2016,Kg,90,100,95
Coriander Green,1/15/2016,Kg,90,100,95
Garlic Dry Chinese,1/15/2016,Kg,250,260,255
Garlic Dry Nepali,1/15/2016,Kg,240,250,245
Clive Dry,1/15/2016,Kg,90,100,95
Clive Green,1/15/2016,Kg,90,100,95
Fish Fresh,1/15/2016,Kg,250,260,255
Tomato Big(Nepali),1/16/2016,Kg,40,50,45
Tomato Small(Local),1/16/2016,Kg,15,24,19.5
Potato Red,1/16/2016,Kg,25,30,27.5
Potato White,1/16/2016,Kg,20,25,22.5
Onion Dry (Indian),1/16/2016,Kg,30,35,32.5
Carrot(Local),1/16/2016,Kg,25,40,32.5
Cabbage(Local),1/16/2016,Kg,18,26,22
Cauli Local,1/16/2016,Kg,20,30,25
Cauli Terai,1/16/2016,Kg,20,25,22.5
Raddish Red,1/16/2016,Kg,25,30,27.5
Raddish White(Local),1/16/2016,Kg,18,25,21.5
Brinjal Long,1/16/2016,Kg,30,38,34
Brinjal Round,1/16/2016,Kg,35,42,38.5
Cow pea(Long),1/16/2016,Kg,65,75,70
Green Peas,1/16/2016,Kg,75,90,82.5
French Bean(Local),1/16/2016,Kg,50,60,55
Sword Bean,1/16/2016,Kg,40,50,45
Bitter Gourd,1/16/2016,Kg,75,85,80
Bottle Gourd,1/16/2016,Kg,40,50,45
Pointed Gourd(Local),1/16/2016,Kg,90,100,95
Pumpkin,1/16/2016,Kg,18,22,20
Squash(Long),1/16/2016,Kg,45,50,47.5
Okara,1/16/2016,Kg,100,115,107.5
Sweet Potato,1/16/2016,Kg,40,45,42.5
Barela,1/16/2016,Kg,30,40,35
Arum,1/16/2016,Kg,35,40,37.5
Christophine,1/16/2016,Kg,30,40,35
Brd Leaf Mustard,1/16/2016,Kg,40,50,45
Spinach Leaf,1/16/2016,Kg,50,60,55
Cress Leaf,1/16/2016,Kg,50,60,55
Mustard Leaf,1/16/2016,Kg,40,50,45
Fenugreek Leaf,1/16/2016,Kg,50,60,55
Onion Green,1/16/2016,Kg,70,75,72.5
Bakula,1/16/2016,Kg,50,60,55
Yam,1/16/2016,Kg,25,30,27.5
Mushroom(Kanya),1/16/2016,Kg,100,150,125
Brocauli,1/16/2016,Kg,30,40,35
